Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790152392,2,POST,completion,0.100000,0.000000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152392,2,TPOT,completion,0.100000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152392,2,TTFT,completion,0.100000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152392,2,,Aggregated,0.300000,0.000000,1900,1900,18000,18000,18000,18000,18000,18000,18000,18000,18000,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152393,2,POST,completion,0.100000,0.000000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152393,2,TPOT,completion,0.100000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152393,2,TTFT,completion,0.100000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152393,2,,Aggregated,0.300000,0.000000,1900,1900,18000,18000,18000,18000,18000,18000,18000,18000,18000,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152394,2,POST,completion,0.100000,0.000000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152394,2,TPOT,completion,0.100000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152394,2,TTFT,completion,0.100000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152394,2,,Aggregated,0.300000,0.000000,1900,1900,18000,18000,18000,18000,18000,18000,18000,18000,18000,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152395,2,POST,completion,0.100000,0.000000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152395,2,TPOT,completion,0.100000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152395,2,TTFT,completion,0.100000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152395,2,,Aggregated,0.300000,0.000000,1900,1900,18000,18000,18000,18000,18000,18000,18000,18000,18000,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152396,2,POST,completion,0.100000,0.000000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152396,2,TPOT,completion,0.100000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152396,2,TTFT,completion,0.100000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152396,2,,Aggregated,0.300000,0.000000,1900,1900,18000,18000,18000,18000,18000,18000,18000,18000,18000,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152397,2,POST,completion,0.100000,0.000000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152397,2,TPOT,completion,0.100000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152397,2,TTFT,completion,0.100000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152397,2,,Aggregated,0.300000,0.000000,1900,1900,18000,18000,18000,18000,18000,18000,18000,18000,18000,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152398,2,POST,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152398,2,TPOT,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152398,2,TTFT,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152398,2,,Aggregated,0.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152399,2,POST,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152399,2,TPOT,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152399,2,TTFT,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152399,2,,Aggregated,0.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152400,2,POST,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152400,2,TPOT,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152400,2,TTFT,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152400,2,,Aggregated,0.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152401,2,POST,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152401,2,TPOT,completion,0.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
